id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Alex Poythress,414,PF,24,25,104,0.5,0.9
Jacob Pullen,415,PG,28,3,6,0.5,0.0
Rodney Purvis,416,SG,23,16,290,0.423,0.8
Zhou Qi,417,C,22,18,124,0.295,9.6
Tim Quarterman,418,SG,23,3,13,0.515,0.0
Ivan Rabb,419,PF,20,36,516,0.599,2.4
Julius Randle,420,C,23,82,2190,0.606,1.7
Zach Randolph,421,PF,36,59,1508,0.529,0.6
Xavier Rathan-Mayes,422,SG,23,5,118,0.315,2.4
J.J. Redick,423,SG,33,70,2116,0.614,0.2
Davon Reed,424,SG,22,21,242,0.38799999999999996,0.7
Willie Reed,425,C,27,42,428,0.6709999999999999,4.3
Josh Richardson,426,SF,24,81,2689,0.551,2.4
Malachi Richardson,427,SG,22,26,324,0.446,0.3
Austin Rivers,428,SG,25,61,2057,0.526,0.6
Andre Roberson,429,SG,26,39,1037,0.5429999999999999,3.1
Devin Robinson,430,SF,22,1,13,0.33299999999999996,0.0
Glenn Robinson,431,SF,24,23,338,0.529,0.3
Rajon Rondo,432,PG,31,65,1705,0.522,0.5
Derrick Rose,433,PG,29,25,420,0.507,0.8
Terrence Ross,434,SG,26,24,600,0.505,1.5
Terry Rozier,435,PG,23,80,2068,0.52,0.8
Ricky Rubio,436,PG,27,77,2254,0.537,0.4
D'Angelo Russell,437,PG,21,48,1234,0.509,1.0
Domantas Sabonis,438,C,21,74,1810,0.5670000000000001,1.6
JaKarr Sampson,439,SF,24,22,344,0.585,6.1
Dario Saric,440,PF,23,78,2310,0.5820000000000001,0.7
Tomas Satoransky,441,SG,26,73,1643,0.615,0.8
Dennis Schroder,442,PG,24,67,2078,0.515,0.2
Mike Scott,443,PF,29,76,1406,0.599,0.6
Thabo Sefolosha,444,SF,33,38,806,0.591,1.3
Wayne Selden,445,SG,23,35,692,0.551,0.7
Ramon Sessions,446,PG,31,28,392,0.479,0.4
Iman Shumpert,447,SG,27,14,276,0.48,1.2
Pascal Siakam,448,PF,23,81,1679,0.5489999999999999,2.0
Xavier Silas,449,SG,30,2,7,0.0,0.0
Ben Simmons,450,PG,21,81,2732,0.557,2.1
Jonathon Simmons,451,SG,28,69,2029,0.555,0.6
Kobi Simmons,452,PG,20,32,643,0.49,0.7
Kyle Singler,453,SF,29,12,59,0.43,0.0
Marcus Smart,454,SG,23,54,1614,0.479,1.2
Dennis Smith,455,PG,20,69,2049,0.473,0.8
Ish Smith,456,PG,29,82,2043,0.525,0.9
J.R. Smith,457,SG,32,80,2244,0.534,0.4
Jason Smith,458,C,31,33,285,0.455,4.0
Josh Smith,459,PF,32,3,12,0.25,0.0
Tony Snell,460,SG,26,75,2053,0.578,1.2
Marreese Speights,461,C,30,52,675,0.539,2.6
Nik Stauskas,462,SG,24,41,523,0.5429999999999999,0.6
Lance Stephenson,463,SG,27,82,1850,0.495,0.8
David Stockton,464,PG,26,3,9,1.05,0.0
Julyan Stone,465,SG,29,23,175,0.684,1.0
Edmond Sumner,466,PG,22,1,2,1.0,0.0
